smass,color,sSFR,radius
0.012000825218391192,0.01114060999235389,0.013158291330483273,0.01492555884347605
0.011002459567498908,0.016991775060003954,0.01248336484986232,0.008056423953048845
0.012522166735263757,0.011306929367059914,0.012096768497906018,0.012514262877999317
0.018229775123748435,0.011161918354065485,0.01354666414783395,0.009788185086518384
0.01151228738141279,0.0135691792933388,0.014058380009259493,0.013118828674778142
0.013691104109550448,0.012844120606059864,0.012249188732677085,0.011897894801667128
0.0159165065834148,0.012530304574967071,0.02206162767668633,0.017575819816597962
0.014658683742377195,0.013561859659354273,0.014957328520381771,0.010768613930685126
0.015631729938874152,0.010689435018630004,0.01451562224559333,0.012187294767482452
0.01191973297078982,0.009862364456349963,0.013101655674292395,0.019176395461031597
0.015045843202706148,0.01639643747167368,0.014201375943947013,0.011890890224108637
0.012368669863222373,0.012397940758227147,0.01782503535949884,0.01466060152219016
0.01229574480732646,0.014619975388126302,0.011388294786793604,0.011955899957057868
0.012790478959074772,0.013391695743374869,0.01655127116103302,0.015008749599252587
0.01693031644750435,0.01709160513793415,0.015675267771904127,0.011282177745738916
0.013784902047088394,0.014604301430305305,0.018432311232362164,0.01537930545966569
0.01605213280774647,0.011184434775691383,0.010867942719967796,0.013607128279678863
0.016915476023265767,0.014714591583272731,0.022518621419217708,0.014912331406731955
0.012722541289724354,0.010912334229861691,0.012948427945908164,0.012643531854502864
0.013390393193495624,0.010415464614078362,0.017288626901935344,0.013058138922688815
0.01308298551894247,0.011719713496101535,0.01439632047632971,0.017238052522921737
0.010815350727853732,0.016256480823316526,0.013895874141342338,0.013947295815882688
0.015457598232158313,0.014056548544748288,0.01719545387992306,0.012275252916748636
0.013712353320359959,0.011748108405858057,0.01466931458730374,0.013203272777553648
0.01477446992207858,0.012901478760958268,0.014948472270556172,0.010016691663576577
0.015178474620217553,0.012986396873050102,0.011791150368305496,0.018033217250764583
0.016280627501973018,0.01402045163213046,0.014088398349393143,0.021242484053482905
0.012533014456552262,0.014589643050318178,0.013095103731472244,0.016178531726346156
